Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price
1,Electronics Item 1,Electronics,Vista,3908,4730.6
2,Electronics Item 2,Electronics,UrbanX,2740,3396.56
3,Electronics Item 3,Electronics,Apex,2384,2960.25
4,Electronics Item 4,Electronics,Nimbus,3906,4764.89
5,Electronics Item 5,Electronics,Aura,2855,3374.64
6,Electronics Item 6,Electronics,Aura,1589,1929.25
7,Electronics Item 7,Electronics,Vista,2216,2667.67
8,Electronics Item 8,Electronics,Apex,4653,5493.85
9,Electronics Item 9,Electronics,Nimbus,801,958.71
10,Electronics Item 10,Electronics,Apex,4102,4999.77
11,Electronics Item 11,Electronics,Everest,4000,4900.85
12,Electronics Item 12,Electronics,UrbanX,3771,4659.09
13,Electronics Item 13,Electronics,Apex,2510,3000.73
14,Electronics Item 14,Electronics,Aura,2608,3198.65
15,Electronics Item 15,Electronics,Aura,3976,4845.72
16,Electronics Item 16,Electronics,Aura,3585,4480.4
17,Electronics Item 17,Electronics,Vista,2982,3665.47
18,Electronics Item 18,Electronics,UrbanX,2611,3126.93
19,Electronics Item 19,Electronics,Prime,1677,2015.9
20,Electronics Item 20,Electronics,Everest,1669,1994.7
21,Electronics Item 21,Electronics,Vista,2365,2910.66
22,Electronics Item 22,Electronics,Vista,923,1142.94
23,Electronics Item 23,Electronics,Vista,1963,2365.93
24,Electronics Item 24,Electronics,Prime,215,264.36
25,Electronics Item 25,Electronics,Nova,2347,2776.94
26,Electronics Item 26,Electronics,Prime,4633,5561.68
27,Electronics Item 27,Electronics,Nova,4121,4892.37
28,Electronics Item 28,Electronics,Everest,4802,5761.94
29,Electronics Item 29,Electronics,Nova,3708,4463.87
30,Electronics Item 30,Electronics,Everest,2168,2701.06
31,Electronics Item 31,Electronics,Nimbus,1034,1279.62
32,Electronics Item 32,Electronics,Nova,4128,4892.45
33,Electronics Item 33,Electronics,Vista,1342,1597.58
34,Electronics Item 34,Electronics,UrbanX,797,995.91
35,Electronics Item 35,Electronics,Apex,4671,5761.73
36,Electronics Item 36,Electronics,Everest,4380,5285.02
37,Electronics Item 37,Electronics,Nimbus,2535,3143.94
38,Electronics Item 38,Electronics,Nova,2601,3172.71
39,Electronics Item 39,Electronics,Apex,912,1136.65
40,Electronics Item 40,Electronics,UrbanX,1828,2190.9
41,Electronics Item 41,Electronics,UrbanX,1386,1658.75
42,Electronics Item 42,Electronics,Everest,1382,1631.02
43,Electronics Item 43,Electronics,Nova,4964,6020.81
44,Electronics Item 44,Electronics,Vista,1996,2395.53
45,Electronics Item 45,Electronics,Apex,3819,4525.45
46,Electronics Item 46,Electronics,Apex,2267,2800.08
47,Electronics Item 47,Electronics,Apex,3582,4255.54
48,Electronics Item 48,Electronics,Prime,1320,1641.54
49,Electronics Item 49,Electronics,Vista,684,809.98
50,Electronics Item 50,Electronics,Vista,4974,6130.09
51,Electronics Item 51,Electronics,Vista,3697,4394.64
52,Electronics Item 52,Electronics,Everest,3397,4232.62
53,Electronics Item 53,Electronics,Nova,3686,4370.24
54,Electronics Item 54,Electronics,Vista,3639,4481.13
55,Electronics Item 55,Electronics,Nova,311,368.97
56,Electronics Item 56,Electronics,Prime,2307,2815.32
57,Electronics Item 57,Electronics,Everest,3954,4809.36
58,Electronics Item 58,Electronics,Nimbus,2378,2836.25
59,Electronics Item 59,Electronics,Everest,4128,5151.06
60,Electronics Item 60,Electronics,Aura,2950,3565.32
61,Electronics Item 61,Electronics,Aura,956,1185.48
62,Electronics Item 62,Electronics,Vista,3472,4265.55
63,Electronics Item 63,Electronics,Nova,3380,4180.89
64,Electronics Item 64,Electronics,Vista,3825,4537.08
65,Electronics Item 65,Electronics,Nimbus,2748,3264.94
66,Electronics Item 66,Electronics,Nova,4315,5340.87
67,Electronics Item 67,Electronics,Nova,4544,5508.87
68,Electronics Item 68,Electronics,Everest,1636,1989.85
69,Electronics Item 69,Electronics,Apex,3721,4588.73
70,Electronics Item 70,Electronics,Vista,2287,2786.58
71,Electronics Item 71,Electronics,Everest,3689,4580.48
72,Electronics Item 72,Electronics,Apex,1094,1293.13
73,Electronics Item 73,Electronics,Nova,1397,1678.85
74,Electronics Item 74,Electronics,Apex,4624,5588.38
75,Electronics Item 75,Electronics,UrbanX,1029,1247.46
76,Electronics Item 76,Electronics,Vista,1361,1653.46
77,Electronics Item 77,Electronics,Nimbus,4268,5246.99
78,Electronics Item 78,Electronics,Apex,4052,5059.4
79,Electronics Item 79,Electronics,Nimbus,3841,4680.6
80,Electronics Item 80,Electronics,Prime,1661,2067.17
81,Electronics Item 81,Electronics,Nimbus,671,804.76
82,Electronics Item 82,Electronics,Vista,2884,3591.73
83,Electronics Item 83,Electronics,Vista,121,145.18
84,Electronics Item 84,Electronics,Everest,4908,5990.68
85,Electronics Item 85,Electronics,Everest,1317,1595.23
86,Electronics Item 86,Electronics,Nimbus,2927,3521.97
87,Electronics Item 87,Electronics,Apex,3830,4769.5
88,Electronics Item 88,Electronics,Apex,2056,2508.37
89,Electronics Item 89,Electronics,Everest,3465,4099.29
90,Electronics Item 90,Electronics,Prime,3223,3890.24
91,Electronics Item 91,Electronics,Prime,4157,5186.01
92,Electronics Item 92,Electronics,Aura,4214,5257.28
93,Electronics Item 93,Electronics,Everest,922,1144.38
94,Electronics Item 94,Electronics,Everest,916,1114.6
95,Electronics Item 95,Electronics,Nimbus,225,276.88
96,Electronics Item 96,Electronics,Vista,1364,1616.66
97,Electronics Item 97,Electronics,Nimbus,2873,3515.48
98,Electronics Item 98,Electronics,Nimbus,757,938.4
99,Electronics Item 99,Electronics,Everest,2694,3297.12
100,Electronics Item 100,Electronics,UrbanX,4532,5359.15
101,Electronics Item 101,Electronics,Vista,2023,2476.52
102,Electronics Item 102,Electronics,Nimbus,1963,2418.95
103,Electronics Item 103,Electronics,UrbanX,906,1117.3
104,Electronics Item 104,Electronics,Vista,3734,4449.6
105,Electronics Item 105,Electronics,Nova,337,398.74
106,Electronics Item 106,Electronics,Nimbus,2503,3016.35
107,Electronics Item 107,Electronics,Nimbus,1292,1546.65
108,Electronics Item 108,Electronics,Prime,4736,5814.51
109,Electronics Item 109,Electronics,Nimbus,1492,1778.84
110,Electronics Item 110,Electronics,Prime,2072,2517.14
111,Electronics Item 111,Electronics,Vista,2002,2426.99
112,Electronics Item 112,Electronics,Nova,3864,4628.58
113,Electronics Item 113,Electronics,Prime,3911,4861.7
114,Electronics Item 114,Electronics,Aura,705,853.7
115,Electronics Item 115,Electronics,Nimbus,4913,5900.22
116,Electronics Item 116,Electronics,Vista,2148,2603.33
117,Electronics Item 117,Electronics,Everest,1731,2163.67
118,Electronics Item 118,Electronics,Aura,973,1164.3
119,Electronics Item 119,Electronics,Vista,4808,5773.02
120,Electronics Item 120,Electronics,Nimbus,279,348.32
121,Electronics Item 121,Electronics,Nova,2348,2771.97
122,Electronics Item 122,Electronics,Vista,4169,5162.47
123,Electronics Item 123,Electronics,Aura,1985,2426.65
124,Electronics Item 124,Electronics,Vista,1894,2319.32
125,Electronics Item 125,Electronics,Nova,1220,1493.25
126,Electronics Item 126,Electronics,Nova,2630,3248.58
127,Electronics Item 127,Electronics,Prime,4847,5843.25
128,Electronics Item 128,Electronics,Aura,838,1042.2
129,Electronics Item 129,Electronics,Prime,3503,4176.61
130,Electronics Item 130,Electronics,Aura,4518,5608.43
131,Electronics Item 131,Electronics,Vista,4448,5404.88
132,Electronics Item 132,Electronics,Everest,1447,1733.49
133,Electronics Item 133,Electronics,Aura,2517,3101.6
134,Electronics Item 134,Electronics,UrbanX,1043,1264.93
135,Electronics Item 135,Electronics,Apex,1253,1544.69
136,Electronics Item 136,Electronics,Aura,3355,4186.06
137,Electronics Item 137,Electronics,Nova,839,1036.46
138,Electronics Item 138,Electronics,Everest,2266,2758.99
139,Electronics Item 139,Electronics,Vista,3119,3827.32
140,Electronics Item 140,Electronics,Aura,4888,5898.21
141,Electronics Item 141,Electronics,Everest,987,1211.28
142,Electronics Item 142,Electronics,Aura,305,373.13
143,Electronics Item 143,Electronics,Everest,1913,2344.07
144,Electronics Item 144,Electronics,UrbanX,2575,3155.53
145,Electronics Item 145,Electronics,Nova,1245,1473.05
146,Electronics Item 146,Electronics,UrbanX,2593,3240.51
147,Electronics Item 147,Electronics,Prime,896,1072.01
148,Electronics Item 148,Electronics,Nimbus,3283,3978.19
149,Electronics Item 149,Electronics,Prime,4911,6050.15
150,Electronics Item 150,Electronics,Everest,3498,4288.0
151,Furniture Item 1,Furniture,Vista,3443,3778.91
152,Furniture Item 2,Furniture,Apex,368,400.24
153,Furniture Item 3,Furniture,Apex,3732,4022.3
154,Furniture Item 4,Furniture,Aura,3071,3267.46
155,Furniture Item 5,Furniture,Aura,4560,4998.07
156,Furniture Item 6,Furniture,Apex,596,641.25
157,Furniture Item 7,Furniture,Everest,1100,1207.76
158,Furniture Item 8,Furniture,Nova,850,923.53
159,Furniture Item 9,Furniture,Apex,514,561.02
160,Furniture Item 10,Furniture,Apex,1131,1234.46
161,Furniture Item 11,Furniture,Apex,662,723.69
162,Furniture Item 12,Furniture,Apex,4903,5239.53
163,Furniture Item 13,Furniture,Nova,2791,3044.91
164,Furniture Item 14,Furniture,Prime,2371,2594.67
165,Furniture Item 15,Furniture,Prime,1164,1258.99
166,Furniture Item 16,Furniture,Nova,1000,1086.44
167,Furniture Item 17,Furniture,Apex,1179,1250.44
168,Furniture Item 18,Furniture,Prime,4923,5282.14
169,Furniture Item 19,Furniture,Nimbus,2273,2414.14
170,Furniture Item 20,Furniture,UrbanX,4409,4693.58
171,Furniture Item 21,Furniture,Aura,4001,4312.8
172,Furniture Item 22,Furniture,Everest,4304,4664.45
173,Furniture Item 23,Furniture,Nova,4227,4518.08
174,Furniture Item 24,Furniture,Nova,4371,4686.0
175,Furniture Item 25,Furniture,Nimbus,598,657.77
176,Furniture Item 26,Furniture,Everest,3592,3906.1
177,Furniture Item 27,Furniture,UrbanX,3733,3967.95
178,Furniture Item 28,Furniture,UrbanX,2738,2968.9
179,Furniture Item 29,Furniture,Aura,1133,1213.44
180,Furniture Item 30,Furniture,Vista,3220,3541.31
181,Furniture Item 31,Furniture,Nimbus,3816,4122.13
182,Furniture Item 32,Furniture,UrbanX,912,995.65
183,Furniture Item 33,Furniture,Apex,4616,5026.06
184,Furniture Item 34,Furniture,Apex,3623,3905.82
185,Furniture Item 35,Furniture,Everest,3489,3745.64
186,Furniture Item 36,Furniture,UrbanX,3366,3623.97
187,Furniture Item 37,Furniture,Vista,2660,2865.01
188,Furniture Item 38,Furniture,Everest,3166,3476.72
189,Furniture Item 39,Furniture,UrbanX,649,690.31
190,Furniture Item 40,Furniture,Aura,863,929.69
191,Furniture Item 41,Furniture,Aura,1165,1260.83
192,Furniture Item 42,Furniture,Nimbus,1101,1185.15
193,Furniture Item 43,Furniture,Vista,521,572.44
194,Furniture Item 44,Furniture,Apex,2980,3171.15
195,Furniture Item 45,Furniture,Apex,1367,1484.93
196,Furniture Item 46,Furniture,Aura,986,1058.97
197,Furniture Item 47,Furniture,Apex,1041,1135.21
198,Furniture Item 48,Furniture,Nova,3615,3954.11
199,Furniture Item 49,Furniture,Vista,2290,2430.05
200,Furniture Item 50,Furniture,Aura,2631,2885.84
201,Furniture Item 51,Furniture,Prime,150,160.09
202,Furniture Item 52,Furniture,UrbanX,4739,5147.95
203,Furniture Item 53,Furniture,Nova,1262,1375.12
